locus_id,locus_index,nnz_across_pgs,mean_abs_weight,z0,z1,z2,z3
9:116943357,1267369,2,0.18883884,0.11422192,0.018152155,-0.15669598,1.1361011
9:139248082,1280618,3,0.2983109,-1.2223662,0.90425056,0.4466605,-0.12623088
9:19074538,1285007,4,0.289248,0.67644763,-0.7075009,0.25586683,0.35378265
9:22134094,1287017,4,0.39463234,-0.66076624,1.5591666,0.17336403,-0.24129228
9:23358495,1287794,3,0.19630209,0.14018585,-0.3110094,-0.4532479,0.58522755
9:28410683,1291082,5,0.3624188,0.20808566,0.51168394,0.13150741,1.2327344
9:34074476,1294258,3,0.1977389,-0.18288577,-0.5564621,0.5736269,0.85151905
9:4290085,1297336,6,0.49322003,-0.060400072,0.5898492,-0.76053,-0.61636794
9:81344701,1305730,2,0.17432857,0.26522237,0.36318365,0.83118415,1.1403775
9:81907986,1306137,3,0.29215,-1.2011144,0.88566947,0.446494,-0.142185
9:84308948,1307816,7,0.5422026,-0.83768505,1.0072016,0.39330685,-0.47511345
9:96915002,1315457,3,0.2409161,-0.13424261,0.37794086,0.31191358,1.2650074
9:98278413,1316142,2,0.13291743,0.3347331,0.580694,0.028346356,-0.06307806
:,1317056,3,0.74747145,-1.7045287,2.2910335,3.6218,-0.98887545
